time,device,activation_predicted
2022-08-31 00:00:00,device_1,0
2022-08-31 00:00:00,device_2,0
2022-08-31 00:00:00,device_3,0
2022-08-31 00:00:00,device_4,0
2022-08-31 00:00:00,device_5,0
2022-08-31 00:00:00,device_6,0
2022-08-31 00:00:00,device_7,0
2022-08-31 01:00:00,device_7,0
2022-08-31 01:00:00,device_6,0
2022-08-31 01:00:00,device_5,0
2022-08-31 01:00:00,device_2,0
2022-08-31 01:00:00,device_3,0
2022-08-31 01:00:00,device_1,0
2022-08-31 01:00:00,device_4,0
2022-08-31 02:00:00,device_6,0
2022-08-31 02:00:00,device_7,0
2022-08-31 02:00:00,device_4,0
2022-08-31 02:00:00,device_5,0
2022-08-31 02:00:00,device_2,0
2022-08-31 02:00:00,device_1,0
2022-08-31 02:00:00,device_3,0
2022-08-31 03:00:00,device_7,0
2022-08-31 03:00:00,device_5,0
2022-08-31 03:00:00,device_4,0
2022-08-31 03:00:00,device_6,0
2022-08-31 03:00:00,device_2,0
2022-08-31 03:00:00,device_1,0
2022-08-31 03:00:00,device_3,0
2022-08-31 04:00:00,device_6,0
2022-08-31 04:00:00,device_1,0
2022-08-31 04:00:00,device_2,0
2022-08-31 04:00:00,device_3,0
2022-08-31 04:00:00,device_4,0
2022-08-31 04:00:00,device_5,0
2022-08-31 04:00:00,device_7,0
2022-08-31 05:00:00,device_6,0
2022-08-31 05:00:00,device_7,0
2022-08-31 05:00:00,device_4,0
2022-08-31 05:00:00,device_5,0
2022-08-31 05:00:00,device_3,0
2022-08-31 05:00:00,device_2,0
2022-08-31 05:00:00,device_1,0
2022-08-31 06:00:00,device_1,0
2022-08-31 06:00:00,device_2,0
2022-08-31 06:00:00,device_3,0
2022-08-31 06:00:00,device_4,0
2022-08-31 06:00:00,device_5,0
2022-08-31 06:00:00,device_6,0
2022-08-31 06:00:00,device_7,0
2022-08-31 07:00:00,device_7,1
2022-08-31 07:00:00,device_6,1
2022-08-31 07:00:00,device_5,1
2022-08-31 07:00:00,device_1,1
2022-08-31 07:00:00,device_3,1
2022-08-31 07:00:00,device_2,1
2022-08-31 07:00:00,device_4,1
2022-08-31 08:00:00,device_5,1
2022-08-31 08:00:00,device_7,1
2022-08-31 08:00:00,device_6,1
2022-08-31 08:00:00,device_4,1
2022-08-31 08:00:00,device_2,1
2022-08-31 08:00:00,device_1,1
2022-08-31 08:00:00,device_3,1
2022-08-31 09:00:00,device_1,1
2022-08-31 09:00:00,device_2,1
2022-08-31 09:00:00,device_3,1
2022-08-31 09:00:00,device_4,1
2022-08-31 09:00:00,device_5,1
2022-08-31 09:00:00,device_6,1
2022-08-31 09:00:00,device_7,1
2022-08-31 10:00:00,device_6,1
2022-08-31 10:00:00,device_1,1
2022-08-31 10:00:00,device_2,1
2022-08-31 10:00:00,device_3,1
2022-08-31 10:00:00,device_4,1
2022-08-31 10:00:00,device_5,1
2022-08-31 10:00:00,device_7,1
2022-08-31 11:00:00,device_5,1
2022-08-31 11:00:00,device_6,1
2022-08-31 11:00:00,device_4,1
2022-08-31 11:00:00,device_7,1
2022-08-31 11:00:00,device_2,1
2022-08-31 11:00:00,device_1,1
